datetime,time,tem,dew_point,humidity,pressure,wind_dr,wind_sp,condition
2017/3/18,13,24,19,73,1017,16,4,4
2017/3/18,14,23,19,73,1017,3,2,5
2017/3/18,15,22,18,78,1015,8,2,3
2017/3/18,16,21,19,88,1015,6,1,3
2017/3/18,17,21,19,83,1016,1,2,8
2017/3/18,18,22,18,78,1015,16,4,3
2017/3/18,19,21,18,83,1016,6,1,3
2017/3/18,20,20,19,90,1017,3,2,8
2017/3/18,21,22,19,83,1017,16,4,3
2017/3/18,22,22,19,83,1017,2,4,3
2017/3/18,23,20,20,96,1018,1,2,1
2017/3/19,0,21,19,88,1017,12,2,3
2017/3/19,1,21,19,88,1017,6,1,3
2017/3/19,2,20,20,94,1017,4,1,1
2017/3/19,3,20,19,94,1016,7,2,3
2017/3/19,4,20,19,94,1016,11,2,3
2017/3/19,5,21,20,96,1016,2,2,1
2017/3/19,6,22,19,83,1016,12,4,3
2017/3/19,7,22,19,83,1016,13,4,3
2017/3/19,8,20,20,98,1018,5,2,9
2017/3/19,9,22,19,83,1018,13,5,9
2017/3/19,10,22,20,88,1018,16,3,9
2017/3/19,11,20,20,100,1019,4,2,9
2017/3/19,12,21,20,94,1019,13,2,13
2017/3/19,13,21,20,94,1017,13,6,9
2017/3/19,14,21,20,100,1017,5,2,9
2017/3/19,15,23,20,83,1015,13,5,9
2017/3/19,16,23,20,83,1015,16,5,9
2017/3/19,17,21,21,97,1016,4,1,5
2017/3/19,18,23,20,83,1015,13,4,6
2017/3/19,19,22,20,88,1015,16,3,6
2017/3/19,20,20,20,95,1016,2,1,5
2017/3/19,21,21,19,88,1016,16,3,4
2017/3/19,22,21,19,88,1016,16,3,7
2017/3/19,23,20,19,98,1017,3,2,1
2017/3/20,0,21,19,88,1016,16,4,3
2017/3/20,1,21,19,88,1016,16,3,3
2017/3/20,2,19,19,96,1016,15,1,1
2017/3/20,3,21,19,88,1015,2,2,3
2017/3/20,4,21,19,88,1015,2,2,3
2017/3/20,5,19,19,96,1016,15,1,2
2017/3/20,6,20,19,94,1015,6,1,3
2017/3/20,7,20,19,94,1016,6,1,3
2017/3/20,8,20,20,96,1017,4,2,3
2017/3/20,9,23,19,78,1017,16,2,6
2017/3/20,10,22,19,83,1016,7,3,7
2017/3/20,11,26,21,70,1016,5,1,3
2017/3/20,12,23,20,83,1015,8,3,1
2017/3/20,13,29,21,54,1013,13,2,3
2017/3/20,14,29,21,54,1013,13,2,3
2017/3/20,15,26,21,74,1012,17,3,6
2017/3/20,16,26,21,74,1012,7,3,5
2017/3/20,17,26,20,64,1012,11,2,3
2017/3/20,18,23,21,88,1013,10,3,7
2017/3/20,19,23,20,83,1013,11,3,4
2017/3/20,20,23,21,84,1014,12,1,3
2017/3/20,21,22,20,88,1014,12,4,3
2017/3/20,22,21,20,94,1014,8,2,3
2017/3/20,23,22,20,87,1015,2,1,2
2017/3/21,0,21,20,94,1015,10,4,3
2017/3/21,1,21,20,94,1015,11,3,3
2017/3/21,2,22,21,92,1015,1,1,2
2017/3/21,3,21,20,94,1014,0,0,6
2017/3/21,4,21,20,94,1014,9,1,6
2017/3/21,5,21,20,95,1014,1,1,1
2017/3/21,6,21,20,94,1015,10,2,3
2017/3/21,7,21,20,94,1015,0,0,3
2017/3/21,8,22,21,91,1016,4,2,1
2017/3/21,9,23,21,88,1016,7,2,3
2017/3/21,10,23,20,83,1016,17,3,3
2017/3/21,11,27,21,63,1016,15,2,6
2017/3/21,12,25,21,78,1014,17,4,6
2017/3/21,13,25,21,78,1013,17,4,3
2017/3/21,14,29,23,65,1013,11,2,3
2017/3/21,15,24,21,83,1012,11,5,1
2017/3/21,16,23,21,88,1012,11,6,6
2017/3/21,17,25,22,76,1013,12,1,3
2017/3/21,18,23,20,83,1013,10,5,4
2017/3/21,19,22,20,88,1013,11,4,4
2017/3/21,20,23,20,82,1015,3,3,3
2017/3/21,21,24,19,73,1015,16,5,4
2017/3/21,22,23,19,78,1015,16,6,3
2017/3/21,23,21,20,92,1016,1,2,2
2017/3/22,0,21,18,83,1014,16,7,3
2017/3/22,1,21,18,83,1014,16,7,10
2017/3/22,2,19,18,86,1014,2,1,2
2017/3/22,3,20,17,83,1013,16,7,3
2017/3/22,4,19,17,88,1012,16,5,10
2017/3/22,5,18,17,89,1013,5,2,2
2017/3/22,6,19,17,88,1013,16,5,3
2017/3/22,7,19,17,88,1013,16,5,10
