direction							
1	2368							
1	2871							
1	2576							
1	2316							
1	2395							
1	2662							
1	2415							
1	2618							
1	2440							
1	2686							
1	2595							
1	2987							
1	2871							
1	2582							
1	2431							
1	2486							
1	2616							
1	2400							
1	3730							
1	2595							
1	2871							
1	2478							
1	2733							
1	2587							
1	2751							
1	2834							
1	3634							
1	2610							
1	2483							
1	2723							
1	2805							
1	3279							
1	3312							
1	3249							
1	2748							
1	3204							
1	3388							
1	2887							
1	2552							
1	2587							
1	2494							
1	2725							
1	2590							
1	2954							
1	2971							
1	2876							
1	2674							
1	2773							
1	2564							
1	2392							
1	2863							
1	2649							
1	2927							
1	2831							
1	2632							
1	2607							
1	2825							
1	2634							
1	2494							
1	2818							
1	2500							
1	2614							
1	2805							
1	2615							
1	2982							
1	2711							
1	2508							
1	2753							
1	2808							
1	2800							
1	2784							
1	2595							
1	3036							
1	2988							
1	2894							
1	3243							
1	2918							
1	2772							
1	2867							
1	3020							
1	4233							
1	2804							
1	3044							
1	3191							
1	2839							
1	2789							
1	2521							
1	2954							
1	3983							
1	3036							
1	3226							
1	3017							
1	3339							
1	3161							
1	2989							
1	2812							
1	2864							
1	3071							
1	2981							
1	2944							
1	3455							
1	3485							
1	3558							
1	3343							
1	3761							
1	3778							
1	2795							
1	3129							
1	3615							
1	3349							
1	3760							
1	3250							
1	3542							
1	3224							
1	3243							
1	2874							
1	2940							
1	3211							
1	3294							
1	3215							
1	3511							
1	3277							
1	2981							
1	3304							
1	2919							
1	3198							
1	3624							
1	3507							
1	3455							
1	3603							
1	3696							
1	3304							
1	3552							
1	3272							
1	3077							
1	4109							
1	3396							
1	3758							
1	3772							
1	3076							
1	3582							
1	2954							
1	3250							
1	3432							
1	4059							
1	3167							
1	3543							
1	3162							
1	3116							
1	2673							
1	2814							
1	3812							
1	2903							
1	2602							
1	2406							
1	2591							
1	2504							
1	2500							
1	2485							
1	2423							
1	2805							
1	2565							
1	2579							
1	2666							
1	2368							
1	2517							
1	2925							
1	2681							
1	2559							
1	2813							
1	2737							
1	2529							
1	2842							
1	2599							
1	2848							
1	2504							
1	2811							
1	2942							
1	2659							
1	2551							
1	2552							
1	2710							
1	2617							
1	2750							
1	2552							
1	2859							
1	2703							
1	2797							
1	2975							
1	2585							
1	2648							
1	2783							
1	2749							
1	2566							
1	3036							
1	3604							
1	2834							
1	2781							
1	2880							
1	2938							
1	2962							
1	2797							
1	3140							
1	3063							
1	2763							
1	2868							
1	2517							
1	2810							
1	2579							
1	2697							
1	2505							
1	2572							
1	2830							
1	2469							
1	2574							
1	2658							
1	2868							
1	2825							
1	2892							
1	2724							
1	2757							
1	2501							
1	2691							
1	2713							
1	2838							
1	2932							
1	2827							
1	2825							
1	3269							
1	3029							
1	3318							
1	3021							
1	3064							
1	2857							
1	3113							
1	2820							
1	3133							
1	2830							
1	2882							
1	2859							
1	2897							
1	2725							
1	2659							
1	2435							
1	2743							
1	3244							
1	3922							
1	3135							
1	3189							
1	3282							
1	2974							
1	2703							
1	3242							
1	2998							
1	2904							
1	2806							
1	3101							
1	2819							
1	3889							
1	2748							
1	3261							
1	3210							
1	3161							
1	3002							
1	3288							
1	3091							
1	3065							
1	2994							
1	3309							
1	3258							
1	3366							
1	3346							
1	3731							
1	2977							
1	3303							
1	3131							
1	2946							
1	2663							
1	2883							
1	3759							
1	2701							
1	2926							
1	3671							
1	3004							
1	2792							
1	3454							
1	2950							
1	2778							
1	2706							
1	3289							
1	2808							
1	2888							
1	3092							
1	3614							
1	2587							
1	2395							
1	2633							
1	2299							
1	2701							
1	2461							
1	2385							
1	2395							
1	2365							
1	2598							
1	2469							
1	2737							
1	2506							
1	2410							
1	2565							
1	2537							
1	2495							
1	2468							
1	2600							
1	2518							
1	2467							
1	2387							
1	2497							
1	2394							
1	2469							
1	2397							
1	2707							
1	2383							
1	3139							
